,Enteroendocrine,Stem,Paneth,Tuft,Goblet,TA,Early enterocyte precursor cell,Late enterocyte precursor cell,Enteroendocrine precursor cell
0,Cldn4,Alcam,Cd24a,1810046K07Rik,Krt20,2200002D01Rik,Apoa1,Aldob,NA
1,2200002D01Rik,Cd24a,Agr2,2210407C18Rik,NA,Actb,Apoa4,Chgb,NA
2,2210407C18Rik,Cd44,Hspa5,NA,1700037C18Rik,Actg1,Apoc3,Fabp1,NA
3,NA,Hspa5,Rrbp1,Acot7,2200002D01Rik,Adh1,Chgb,Fth1,2200002D01Rik
4,5330417C22Rik,Bmi1,0610010K14Rik,Actb,2210407C18Rik,Aldh1a1,Crip1,Gsta1,2210407C18Rik
5,Actb,Lgr5,NA,Actg1,NA,Aldob,Cyp2c29,Gstm1,2610008E11Rik
6,Actg1,Abcg2,NA,Adh1,2310030G06Rik,Alpi,Cyp3a11,Gstm3,NA
7,Adh1,Dclk1,2200002D01Rik,Adora1,NA,Apoa1,Dmbt1,Mt1,Acap3
8,Aldh1a1,Lgr5,2210407C18Rik,Adra2a,A830010M20Rik,Apoa4,Fam213a,Mt2,Adh1
9,Aldob,Lgr5,NA,NA,Aars,Apoc2,Guca2b,Reg3b,NA
10,Alpi,Msi1,4833420G17Rik,Aldh1a1,Acly,Apoc3,Ndrg1,Reg4,Akap9
11,Aplp1,Lgr5,NA,Aldh2,Acsl5,Atp1a1,Oat,Sis,Aldob
12,Apoa1,Bmi1,5730455P16Rik,Aldob,Actb,Cbr1,Prap1,,Alpi
13,Apoa4,Lgr5,Abcd4,Alox5,Actn1,Cdhr2,Reg1,,Ampd3
14,Apoc3,Dclk1,Acly,Alox5ap,Acy3,Cdhr5,Reg3g,,Anapc5
15,Arc,Hesx1,Acsl5,Alpi,Adh1,Ces2e,Reg4,,Ang
16,Atp1a1,Lgr5,Adcy6,Ano6,Agr2,Chgb,NA,,Ankrd12
17,Atp6v1b2,Msi1,Adh1,Ano7,Aldh1a1,NA,Rpl27a,,Ap1m2
18,Btg2,NA,Aes,Anxa4,Aldh3b2,Creb3l3,Rps12,,Aplp1
19,C2cd4b,Bmi1,Agr2,Apoa1,Aldh4a1,Crip1,Rps19,,Apoa1
20,Cacna1a,Bmpr1a,Aldh1a1,Apoa4,Aldoa,Cyb5r3,Rpsa,,Apoa4
21,Cacna2d1,Dclk1,Aldoa,Apoc2,Aldob,Cyp2b10,Slc5a1,,Arap1
22,Cck,NA,Aldob,Apoc3,Alpi,Cyp2c29,Tmem38b,,Arf1
23,Cd63,Lgr5,Alkbh6,Atp1a1,Ano7,Cyp2d26,,,Arhgef28
24,Celf3,Msi1,Alpi,Atp2a3,Apoa1,Cyp3a11,,,Arrdc3
25,Ces2e,Olfm4,Ang4,Avil,Apoa4,Cyp4f14,,,Asf1a
26,Chga,,Anxa4,B2m,Apoc2,NA,,,Atp1a1
27,Chgb,,Apoa1,B3galt5,Apoc3,Dbi,,,Atp1b1
28,Cldn15,,Apoa4,Bmx,Arhgef10l,Dgat1,,,Atp5h
29,Clps,,Apoc2,Bpgm,Asns,Dmbt1,,,Atp6v0e
30,Cpe,,Apoc3,Bub3,Asph,Eef1a1,,,B2m
31,Cplx2,,Arfgap3,Cables2,Atp1a1,Eef1b2,,,Bbx
